Dados obtidos a partir do Sistema de Informação de Solos Brasileiros - BDSOLOS, esclarecimentos quanto ao uso disponível em:  http://www.bdsolos.cnptia.embrapa.br/esclarecimentos_uso.pdf

"Localização descritiva";"UF";"Município";"Altitude (m)";"Sistema de Coordenada";"Datum";"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Latitude Hemisfério";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Longitude Hemisfério";"Northing";"Easting";"pH - H2O";"pH - KCl";"pH - CaCl2";"Complexo Sortivo - Cálcio (cmolc/kg)";"Complexo Sortivo - Magnésio";"Complexo Sortivo - Ca + Mg";"Complexo Sortivo - Potássio";"Complexo Sortivo - Sódio";"Complexo Sortivo - Valor S (Ca2++Mg2++K++Na+)";"Complexo Sortivo - Hidrogênio (H+)";"Complexo Sortivo - Alumínio Trocável (Al3+)";"Complexo Sortivo - Valor T (S+H++Al3+)";"Complexo Sortivo - Valor V &Delta; Saturação por Bases (100. S/T)%";"Complexo Sortivo - Saturação por Alumínio (100. Al3+/S+Al3+)%";"Ataque sulfúrico - SiO2";"Ataque sulfúrico - Al2O3";"Ataque sulfúrico - Fe2O3";"Ataque sulfúrico - TiO2";"Ataque sulfúrico - P2O5";"Ataque sulfúrico - MnO";"Ataque sulfúrico - SiO2 / Al2O3 (Ki)";"Ataque sulfúrico - SiO2 / R2O3 (Kr)";"Ataque sulfúrico - Al2O3 / Fe2O3";"Fósforo assimilável (mg/kg)";"Carbono orgânico";"Nitrogênio total";"Relação C/N (%)";"Água da pasta de saturação";"Saturação por Sódio (100.Na+/T)";"Condutividade Elétrica";"Sais Solúveis do Extrato da Saturação - Cálcio";"Sais Solúveis do Extrato da Saturação - Magnésio";"Sais Solúveis do Extrato da Saturação - Potássio";"Sais Solúveis do Extrato da Saturação - Sódio";"Sais Solúveis do Extrato da Saturação - Carbonatos";"Sais Solúveis do Extrato da Saturação - Cloretos";"Sais Solúveis do Extrato da Saturação - Bicarbonatos";"Sais Solúveis do Extrato da Saturação - Sulfatos";"Ponto de Carga Zero";"Adsorção de Fosfato";"Enxofre";"Equivalente de Carbonato de Cálcio";"CDB - Ferro (g/kg)";"CDB - Alumínio (g/kg)";"CDB - Manganês (g/kg)";"Oxalato de Amônio - Ferro";"Oxalato de Amônio - Alumínio";"Oxalato de Amônio - Sílica";"Pirofosfato de Sódio - Ferro";"Pirofosfato de Sódio - Alumínio";"Microelementos - Ferro";"Microelementos - Manganês";"Microelementos - Cobre";"Microelementos - Zinco";"Microelementos - Níquel";"Microelementos - Boro";"Microelementos - Molibidênio";"Microelementos - Cobalto";"Microelementos - Cádmio";"Microelementos - Cromo";"Microelementos - Selênio";"Microelementos - Chumbo";"Microelementos - Mercúrio";"Microelementos - Arsênio";"Microelementos - Silício";"Informações adicionais da análise química";
"A 100m do córrego Cristalino e a 54,4 km do Rio das Mortes, em direção a Cocalinho. Município de Cocalinho ? MT. 14o 12' 52'' S e 51o 18'34''WGr.
";"MT";"Cocalinho";"";"Latitude / Longitude";"";"14";"12";"52";"Sul";"51";"18";"34";"Oeste";"";"";"4.8";"4.1";"";"0.1";"0.3";"";"0.01";"0.01";"0.4";"0.39";"0.49";"1.3";"31";"56";"";"";"";"";"";"";"";"";"";"1";"0.5";"0.1";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 0.9";
"A 100m do córrego Cristalino e a 54,4 km do Rio das Mortes, em direção a Cocalinho. Município de Cocalinho ? MT. 14o 12' 52'' S e 51o 18'34''WGr.
";"MT";"Cocalinho";"";"Latitude / Longitude";"";"14";"12";"52";"Sul";"51";"18";"34";"Oeste";"";"";"4.8";"3.9";"";"0.1";"0.3";"";"0.01";"0.01";"0.4";"1.15";"1.16";"2.8";"14";"74";"";"";"";"";"";"";"";"";"";"1";"1.3";"0.2";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 2.2";
"A 100m do córrego Cristalino e a 54,4 km do Rio das Mortes, em direção a Cocalinho. Município de Cocalinho ? MT. 14o 12' 52'' S e 51o 18'34''WGr.
";"MT";"Cocalinho";"";"Latitude / Longitude";"";"14";"12";"52";"Sul";"51";"18";"34";"Oeste";"";"";"4.4";"3.8";"";"0.1";"0.2";"";"0.01";"0.01";"0.4";"1.31";"1.11";"2.8";"14";"74";"";"";"";"";"";"";"";"";"";"1";"2";"0.3";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 3.4";
"A 100m do córrego Cristalino e a 54,4 km do Rio das Mortes, em direção a Cocalinho. Município de Cocalinho ? MT. 14o 12' 52'' S e 51o 18'34''WGr.
";"MT";"Cocalinho";"";"Latitude / Longitude";"";"14";"12";"52";"Sul";"51";"18";"34";"Oeste";"";"";"4.4";"4";"";"0.2";"0.2";"";"0.01";"0.01";"0.4";"2.79";"0.85";"4";"11";"66";"";"";"";"";"";"";"";"";"";"2";"5.5";"0.6";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 9.5";
"A  /- 2 km de Campinápolis para fazenda 3 Estrelas. (Reserva
Indígena)
";"MT";"Campinápolis";"";"Latitude / Longitude";"";"14";"30";"43";"Sul";"52";"48";"11";"Oeste";"";"";"5.1";"4.3";"";"0.6";"";"";"0.22";"0.01";"0.8";"4";"1.7";"6.5";"12";"68";"";"";"";"";"";"";"";"";"";"1";"5.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 9.9";
"A  /- 2 km de Campinápolis para fazenda 3 Estrelas. (Reserva
Indígena)
";"MT";"Campinápolis";"";"Latitude / Longitude";"";"14";"30";"43";"Sul";"52";"48";"11";"Oeste";"";"";"4.9";"4.3";"";"0.5";"";"";"0.19";"0.01";"0.7";"6.4";"1.8";"8.9";"8";"72";"";"";"";"";"";"";"1.82";"1.32";"2.66";"1";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 17.9";
"A  /- 2 km de Campinápolis para fazenda 3 Estrelas. (Reserva
Indígena)
";"MT";"Campinápolis";"";"Latitude / Longitude";"";"14";"30";"43";"Sul";"52";"48";"11";"Oeste";"";"";"4.7";"4.3";"";"0.5";"";"";"0.23";"0.01";"0.7";"8.6";"2.3";"11.6";"6";"77";"";"";"";"";"";"";"";"";"";"1";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 34.5";
"A  /- 2 km de Campinápolis para fazenda 3 Estrelas. (Reserva
Indígena)
";"MT";"Campinápolis";"";"Latitude / Longitude";"";"14";"30";"43";"Sul";"52";"48";"11";"Oeste";"";"";"4.6";"4.3";"";"0.5";"";"";"0.29";"0.01";"0.8";"1.3";"2.6";"14.7";"5";"76";"";"";"";"";"";"";"";"";"";"1";"28.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 49.1";
"A  /- 2 km de Campinápolis para fazenda 3 Estrelas. (Reserva
Indígena)
";"MT";"Campinápolis";"";"Latitude / Longitude";"";"14";"30";"43";"Sul";"52";"48";"11";"Oeste";"";"";"4.6";"4.2";"";"0.4";"0.6";"";"0.52";"0.01";"1.5";"15.4";"2.7";"19.6";"8";"64";"";"";"";"";"";"";"";"";"";"2";"37.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/KG) = 64.3";
"A 13 km após o rio das Mortes, na estrada Nova Xavantina -Barra do Garças. COORDENADAS - 14°45?55'' S e 52º19?36'' WGr.
";"MT";"Barra do Garças";"";"Latitude / Longitude";"";"14";"45";"55";"Sul";"52";"19";"36";"Oeste";"";"";"4.5";"4.1";"";"0.2";"0.2";"";"0.03";"0.01";"0.2";"1.4";"1.9";"3.5";"6";"90";"117";"109";"30";"4";"";"";"1.82";"1.55";"5.7";"1";"1.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MO (g/Kg) = 2.3";
